psi0,nu,N,chitc,href,id,col0,col1,col2,col3,col4,col5
0.004398,0.3208,0.3708,2.2939,72.4601,1,5.460635e-01,4.387735e-01,5.250000e-01,2.538390e-01,3.096510e-01,3.424500e+00
-0.035291,0.2879,0.5466,2.4913,98.1213,1,5.535445e-01,5.244057e-01,7.905000e-01,4.690621e-01,5.178894e-01,1.387500e+00
-0.025827,0.2556,0.5395,2.4893,26.9570,1,5.287005e-01,3.819996e-01,6.705000e-01,2.212420e-01,2.569561e-01,4.432500e+00
-0.117768,0.1577,0.4569,1.5900,23.7687,1,5.347402e-01,4.156801e-01,1.053000e+00,3.342855e-01,3.680749e-01,3.727500e+00
-0.026948,0.1535,0.1839,1.6703,50.1851,1,5.609226e-01,5.055061e-01,1.059000e+00,3.822117e-01,4.588833e-01,3.820500e+00
-0.126336,0.1045,0.1915,2.0162,21.5110,1,5.311776e-01,4.525346e-01,1.296000e+00,3.839239e-01,4.295758e-01,3.334500e+00
0.015869,0.2430,0.1122,3.8449,64.0430,1,5.563288e-01,4.702575e-01,7.290000e-01,2.775400e-01,3.432058e-01,6.450000e+00
-0.050544,0.2962,0.3982,2.1241,97.4295,1,5.506820e-01,5.223296e-01,7.530000e-01,4.628983e-01,5.152882e-01,1.326000e+00
-0.013213,0.2802,0.2528,1.5228,140.2306,1,5.813925e-01,5.816161e-01,7.770000e-01,4.683040e-01,5.625550e-01,1.882500e+00
-0.058882,0.2522,0.4816,1.0407,28.2779,1,5.308001e-01,3.865988e-01,6.675000e-01,2.014888e-01,2.396011e-01,5.278500e+00
-0.064562,0.3120,0.2200,1.5597,16.2759,1,5.131956e-01,3.453026e-01,5.025000e-01,1.301790e-01,1.563330e-01,5.206500e+00
0.009081,0.3027,0.1757,1.1379,128.2377,1,5.766443e-01,5.289837e-01,6.225000e-01,3.567718e-01,4.409696e-01,3.856500e+00
-0.004528,0.3161,0.5612,5.7164,54.5686,1,5.357166e-01,4.188296e-01,5.610000e-01,3.043082e-01,3.473905e-01,2.196000e+00
-0.042511,0.1908,0.3994,2.0447,19.7372,1,5.278140e-01,3.836872e-01,8.415000e-01,2.212065e-01,2.593119e-01,5.763000e+00
